date,item,is_weekend,is_exam,is_festival,temperature,rainfall,units_sold
2024-01-01,Samosa,False,False,False,36.6,0.4,123
2024-01-01,Chai,False,False,False,36.6,0.4,232
2024-01-01,Sandwich,False,False,False,36.6,0.4,98
2024-01-01,Dosa,False,False,False,36.6,0.4,63
2024-01-01,Biryani,False,False,False,36.6,0.4,50
2024-01-02,Samosa,False,False,False,,6.8,110
2024-01-02,Chai,False,False,False,14.5,6.8,186
2024-01-02,Sandwich,False,False,False,14.5,6.8,76
2024-01-02,Dosa,False,False,False,14.5,6.8,61
2024-01-02,Biryani,False,False,False,14.5,6.8,53
2024-01-03,Samosa,False,False,False,26.8,0.0,132
2024-01-03,Chai,False,False,False,26.8,0.0,214
2024-01-03,Sandwich,False,False,False,26.8,0.0,103
2024-01-03,Dosa,False,False,False,26.8,0.0,65
2024-01-03,Biryani,False,False,False,26.8,0.0,57
2024-01-04,Samosa,False,False,False,17.1,0.0,133
2024-01-04,Chai,False,False,False,17.1,0.0,204
2024-01-04,Sandwich,False,False,False,17.1,0.0,100
2024-01-04,Dosa,False,False,False,17.1,0.0,79
2024-01-04,Biryani,False,False,False,17.1,0.0,49
2024-01-05,Samosa,False,True,False,28.7,0.4,163
2024-01-05,Chai,False,True,False,28.7,0.4,260
2024-01-05,Sandwich,False,True,False,,0.4,115
2024-01-05,Dosa,False,True,False,28.7,0.4,89
2024-01-05,Biryani,False,True,False,28.7,0.4,75
2024-01-06,Samosa,True,True,False,15.6,1.3,130
2024-01-06,Chai,True,True,False,15.6,1.3,199
2024-01-06,Sandwich,True,True,False,15.6,1.3,90
2024-01-06,Dosa,True,True,False,15.6,1.3,76
2024-01-06,Biryani,True,True,False,15.6,1.3,36
2024-01-07,Samosa,True,False,False,24.7,1.3,109
2024-01-07,Chai,True,False,False,24.7,1.3,180
2024-01-07,Sandwich,True,False,False,24.7,1.3,68
2024-01-07,Dosa,True,False,False,24.7,1.3,58
2024-01-07,Biryani,True,False,False,24.7,1.3,15
2024-01-08,Samosa,False,False,False,27.6,7.2,106
2024-01-08,Chai,False,False,False,27.6,7.2,230
2024-01-08,Sandwich,False,False,False,27.6,7.2,64
2024-01-08,Dosa,False,False,False,27.6,7.2,58
2024-01-08,Biryani,False,False,False,27.6,7.2,57
2024-01-09,Samosa,False,False,False,32.2,4.6,121
2024-01-09,Chai,False,False,False,32.2,4.6,236
2024-01-09,Sandwich,False,False,False,32.2,4.6,83
2024-01-09,Dosa,False,False,False,32.2,4.6,49
2024-01-09,Biryani,False,False,False,32.2,4.6,56
2024-01-10,Samosa,False,False,False,28.2,8.6,132
2024-01-10,Chai,False,False,False,28.2,8.6,212
2024-01-10,Sandwich,False,False,False,28.2,8.6,68
2024-01-10,Dosa,False,False,False,28.2,8.6,60
2024-01-10,Biryani,False,False,False,28.2,8.6,-60
2024-01-11,Samosa,False,False,False,28.5,0.0,120
2024-01-11,Chai,False,False,False,28.5,0.0,205
2024-01-11,Sandwich,False,False,False,28.5,0.0,98
2024-01-11,Dosa,False,False,False,28.5,0.0,69
2024-01-11,Biryani,False,False,False,28.5,0.0,47
2024-01-12,Samosa,False,False,False,31.2,3.5,136
